KAKÊS ALPHABET - Versão 1.0

ᔑ  - Asha  (som de “A”)  
ᓭ  - Bev   (som de “B”)  
ᓵ  - Cen   (som de “C”)  
↸   - Dor   (som de “D”)  
ᒷ  - Eri   (som de “E”)  
⎓  - Fek   (som de “F”)  
⎔  - Gor   (som de “G”)  
𝙷  - Hek   (som de “H”)  
ᓿ  - Isi   (som de “I”)  
ᓹ  - Jal   (som de “J”)  
ꖌ  - Kak   (som de “K”)  
ꖎ  - Lor   (som de “L”)  
ᒲ  - Mor   (som de “M”)  
ꕤ  - Nar   (som de “N”)  
ꕯ  - Ona   (som de “O”)  
ᓲ  - Per   (som de “P”)  
⍊  - Quek  (som de “Q”)  
⚍  - Ras   (som de “R”)  
⍒  - Sak   (som de “S”)  
⍑  - Tor   (som de “T”)  
∴  - Uro   (som de “U”)  
⋮  - Vel   (som de “V”)  
⌖  - Wes   (som de “W”)  
☰  - Xan   (som de “X”)  
ꔮ  - Yar   (som de “Y”)  
ꘉ  - Zor   (som de “Z”)
